STORE_ID,DEPT_ID,STORE_TYPE,STORE_SIZE,GOLD_LOADED_AT
11,28,A,207499,2026-07-13 13:09:01.728 -0700
32,85,A,203007,2026-07-13 13:09:01.728 -0700
32,30,A,203007,2026-07-13 13:09:01.728 -0700
20,91,A,203742,2026-07-13 13:09:01.728 -0700
26,52,A,152513,2026-07-13 13:09:01.728 -0700
5,31,B,34875,2026-07-13 13:09:01.728 -0700
24,87,A,203819,2026-07-13 13:09:01.728 -0700
30,7,C,42988,2026-07-13 13:09:01.728 -0700
8,97,A,155078,2026-07-13 13:09:01.728 -0700
32,92,A,203007,2026-07-13 13:09:01.728 -0700
9,18,B,125833,2026-07-13 13:09:01.728 -0700
15,92,B,123737,2026-07-13 13:09:01.728 -0700
36,2,A,39910,2026-07-13 13:09:01.728 -0700
45,71,B,118221,2026-07-13 13:09:01.728 -0700
11,2,A,207499,2026-07-13 13:09:01.728 -0700
19,50,A,203819,2026-07-13 13:09:01.728 -0700
22,33,B,119557,2026-07-13 13:09:01.728 -0700
45,51,B,118221,2026-07-13 13:09:01.728 -0700
14,25,A,200898,2026-07-13 13:09:01.728 -0700
39,85,A,184109,2026-07-13 13:09:01.728 -0700
1,95,A,151315,2026-07-13 13:09:01.728 -0700
15,97,B,123737,2026-07-13 13:09:01.728 -0700
12,34,B,112238,2026-07-13 13:09:01.728 -0700
6,97,A,202505,2026-07-13 13:09:01.728 -0700
21,29,B,140167,2026-07-13 13:09:01.728 -0700
9,26,B,125833,2026-07-13 13:09:01.728 -0700
5,22,B,34875,2026-07-13 13:09:01.728 -0700
2,42,A,202307,2026-07-13 13:09:01.728 -0700
31,19,A,203750,2026-07-13 13:09:01.728 -0700
35,42,B,103681,2026-07-13 13:09:01.728 -0700
5,27,B,34875,2026-07-13 13:09:01.728 -0700
21,54,B,140167,2026-07-13 13:09:01.728 -0700
31,92,A,203750,2026-07-13 13:09:01.728 -0700
25,7,B,128107,2026-07-13 13:09:01.728 -0700
41,41,A,196321,2026-07-13 13:09:01.728 -0700
14,11,A,200898,2026-07-13 13:09:01.728 -0700
33,22,A,39690,2026-07-13 13:09:01.728 -0700
40,32,A,155083,2026-07-13 13:09:01.728 -0700
1,27,A,151315,2026-07-13 13:09:01.728 -0700
23,40,B,114533,2026-07-13 13:09:01.728 -0700
2,5,A,202307,2026-07-13 13:09:01.728 -0700
14,12,A,200898,2026-07-13 13:09:01.728 -0700
35,44,B,103681,2026-07-13 13:09:01.728 -0700
27,32,A,204184,2026-07-13 13:09:01.728 -0700
17,85,B,93188,2026-07-13 13:09:01.728 -0700
12,10,B,112238,2026-07-13 13:09:01.728 -0700
15,22,B,123737,2026-07-13 13:09:01.728 -0700
30,12,C,42988,2026-07-13 13:09:01.728 -0700
45,26,B,118221,2026-07-13 13:09:01.728 -0700
26,67,A,152513,2026-07-13 13:09:01.728 -0700
17,29,B,93188,2026-07-13 13:09:01.728 -0700
38,2,C,39690,2026-07-13 13:09:01.728 -0700
34,29,A,158114,2026-07-13 13:09:01.728 -0700
40,28,A,155083,2026-07-13 13:09:01.728 -0700
1,21,A,151315,2026-07-13 13:09:01.728 -0700
14,74,A,200898,2026-07-13 13:09:01.728 -0700
6,40,A,202505,2026-07-13 13:09:01.728 -0700
28,59,A,206302,2026-07-13 13:09:01.728 -0700
12,17,B,112238,2026-07-13 13:09:01.728 -0700
14,54,A,200898,2026-07-13 13:09:01.728 -0700
14,28,A,200898,2026-07-13 13:09:01.728 -0700
35,97,B,103681,2026-07-13 13:09:01.728 -0700
28,60,A,206302,2026-07-13 13:09:01.728 -0700
42,79,C,39690,2026-07-13 13:09:01.728 -0700
43,94,C,41062,2026-07-13 13:09:01.728 -0700
5,67,B,34875,2026-07-13 13:09:01.728 -0700
9,27,B,125833,2026-07-13 13:09:01.728 -0700
21,7,B,140167,2026-07-13 13:09:01.728 -0700
26,54,A,152513,2026-07-13 13:09:01.728 -0700
15,29,B,123737,2026-07-13 13:09:01.728 -0700
16,91,B,57197,2026-07-13 13:09:01.728 -0700
19,35,A,203819,2026-07-13 13:09:01.728 -0700
33,1,A,39690,2026-07-13 13:09:01.728 -0700
26,94,A,152513,2026-07-13 13:09:01.728 -0700
8,36,A,155078,2026-07-13 13:09:01.728 -0700
44,5,C,39910,2026-07-13 13:09:01.728 -0700
39,95,A,184109,2026-07-13 13:09:01.728 -0700
1,36,A,151315,2026-07-13 13:09:01.728 -0700
41,7,A,196321,2026-07-13 13:09:01.728 -0700
12,22,B,112238,2026-07-13 13:09:01.728 -0700
5,9,B,34875,2026-07-13 13:09:01.728 -0700
13,30,A,219622,2026-07-13 13:09:01.728 -0700
45,79,B,118221,2026-07-13 13:09:01.728 -0700
45,74,B,118221,2026-07-13 13:09:01.728 -0700
18,26,B,120653,2026-07-13 13:09:01.728 -0700
17,4,B,93188,2026-07-13 13:09:01.728 -0700
13,33,A,219622,2026-07-13 13:09:01.728 -0700
35,71,B,103681,2026-07-13 13:09:01.728 -0700
18,87,B,120653,2026-07-13 13:09:01.728 -0700
22,74,B,119557,2026-07-13 13:09:01.728 -0700
38,9,C,39690,2026-07-13 13:09:01.728 -0700
23,52,B,114533,2026-07-13 13:09:01.728 -0700
15,94,B,123737,2026-07-13 13:09:01.728 -0700
39,42,A,184109,2026-07-13 13:09:01.728 -0700
33,59,A,39690,2026-07-13 13:09:01.728 -0700
6,10,A,202505,2026-07-13 13:09:01.728 -0700
6,41,A,202505,2026-07-13 13:09:01.728 -0700
5,35,B,34875,2026-07-13 13:09:01.728 -0700
1,35,A,151315,2026-07-13 13:09:01.728 -0700
16,11,B,57197,2026-07-13 13:09:01.728 -0700
26,3,A,152513,2026-07-13 13:09:01.728 -0700
9,20,B,125833,2026-07-13 13:09:01.728 -0700
18,72,B,120653,2026-07-13 13:09:01.728 -0700
17,40,B,93188,2026-07-13 13:09:01.728 -0700
27,96,A,204184,2026-07-13 13:09:01.728 -0700
37,31,C,39910,2026-07-13 13:09:01.728 -0700
7,49,B,70713,2026-07-13 13:09:01.728 -0700
18,10,B,120653,2026-07-13 13:09:01.728 -0700
33,83,A,39690,2026-07-13 13:09:01.728 -0700
7,92,B,70713,2026-07-13 13:09:01.728 -0700
31,67,A,203750,2026-07-13 13:09:01.728 -0700
19,85,A,203819,2026-07-13 13:09:01.728 -0700
32,49,A,203007,2026-07-13 13:09:01.728 -0700
35,54,B,103681,2026-07-13 13:09:01.728 -0700
30,83,C,42988,2026-07-13 13:09:01.728 -0700
40,95,A,155083,2026-07-13 13:09:01.728 -0700
10,37,B,126512,2026-07-13 13:09:01.728 -0700
39,23,A,184109,2026-07-13 13:09:01.728 -0700
4,83,A,205863,2026-07-13 13:09:01.728 -0700
3,26,B,37392,2026-07-13 13:09:01.728 -0700
1,98,A,151315,2026-07-13 13:09:01.728 -0700
11,21,A,207499,2026-07-13 13:09:01.728 -0700
41,9,A,196321,2026-07-13 13:09:01.728 -0700
29,52,B,93638,2026-07-13 13:09:01.728 -0700
18,83,B,120653,2026-07-13 13:09:01.728 -0700
29,58,B,93638,2026-07-13 13:09:01.728 -0700
12,83,B,112238,2026-07-13 13:09:01.728 -0700
18,81,B,120653,2026-07-13 13:09:01.728 -0700
34,14,A,158114,2026-07-13 13:09:01.728 -0700
11,59,A,207499,2026-07-13 13:09:01.728 -0700
29,85,B,93638,2026-07-13 13:09:01.728 -0700
39,22,A,184109,2026-07-13 13:09:01.728 -0700
43,67,C,41062,2026-07-13 13:09:01.728 -0700
11,25,A,207499,2026-07-13 13:09:01.728 -0700
44,97,C,39910,2026-07-13 13:09:01.728 -0700
16,20,B,57197,2026-07-13 13:09:01.728 -0700
4,11,A,205863,2026-07-13 13:09:01.728 -0700
26,2,A,152513,2026-07-13 13:09:01.728 -0700
10,32,B,126512,2026-07-13 13:09:01.728 -0700
37,42,C,39910,2026-07-13 13:09:01.728 -0700
8,95,A,155078,2026-07-13 13:09:01.728 -0700
40,80,A,155083,2026-07-13 13:09:01.728 -0700
30,9,C,42988,2026-07-13 13:09:01.728 -0700
45,4,B,118221,2026-07-13 13:09:01.728 -0700
4,59,A,205863,2026-07-13 13:09:01.728 -0700
20,48,A,203742,2026-07-13 13:09:01.728 -0700
23,46,B,114533,2026-07-13 13:09:01.728 -0700
36,60,A,39910,2026-07-13 13:09:01.728 -0700
38,94,C,39690,2026-07-13 13:09:01.728 -0700
6,72,A,202505,2026-07-13 13:09:01.728 -0700
5,40,B,34875,2026-07-13 13:09:01.728 -0700
38,10,C,39690,2026-07-13 13:09:01.728 -0700
39,96,A,184109,2026-07-13 13:09:01.728 -0700
32,19,A,203007,2026-07-13 13:09:01.728 -0700
22,71,B,119557,2026-07-13 13:09:01.728 -0700
21,31,B,140167,2026-07-13 13:09:01.728 -0700
19,91,A,203819,2026-07-13 13:09:01.728 -0700
39,38,A,184109,2026-07-13 13:09:01.728 -0700
30,79,C,42988,2026-07-13 13:09:01.728 -0700
25,27,B,128107,2026-07-13 13:09:01.728 -0700
37,90,C,39910,2026-07-13 13:09:01.728 -0700
14,29,A,200898,2026-07-13 13:09:01.728 -0700
15,31,B,123737,2026-07-13 13:09:01.728 -0700
12,38,B,112238,2026-07-13 13:09:01.728 -0700
29,82,B,93638,2026-07-13 13:09:01.728 -0700
20,55,A,203742,2026-07-13 13:09:01.728 -0700
42,42,C,39690,2026-07-13 13:09:01.728 -0700
2,81,A,202307,2026-07-13 13:09:01.728 -0700
6,42,A,202505,2026-07-13 13:09:01.728 -0700
3,33,B,37392,2026-07-13 13:09:01.728 -0700
15,33,B,123737,2026-07-13 13:09:01.728 -0700
30,96,C,42988,2026-07-13 13:09:01.728 -0700
11,79,A,207499,2026-07-13 13:09:01.728 -0700
27,28,A,204184,2026-07-13 13:09:01.728 -0700
33,17,A,39690,2026-07-13 13:09:01.728 -0700
30,67,C,42988,2026-07-13 13:09:01.728 -0700
36,26,A,39910,2026-07-13 13:09:01.728 -0700
28,97,A,206302,2026-07-13 13:09:01.728 -0700
19,29,A,203819,2026-07-13 13:09:01.728 -0700
6,37,A,202505,2026-07-13 13:09:01.728 -0700
6,74,A,202505,2026-07-13 13:09:01.728 -0700
9,46,B,125833,2026-07-13 13:09:01.728 -0700
14,83,A,200898,2026-07-13 13:09:01.728 -0700
41,20,A,196321,2026-07-13 13:09:01.728 -0700
6,36,A,202505,2026-07-13 13:09:01.728 -0700
19,55,A,203819,2026-07-13 13:09:01.728 -0700
6,83,A,202505,2026-07-13 13:09:01.728 -0700
37,28,C,39910,2026-07-13 13:09:01.728 -0700
15,91,B,123737,2026-07-13 13:09:01.728 -0700
2,99,A,202307,2026-07-13 13:09:01.728 -0700
27,97,A,204184,2026-07-13 13:09:01.728 -0700
14,21,A,200898,2026-07-13 13:09:01.728 -0700
38,20,C,39690,2026-07-13 13:09:01.728 -0700
21,55,B,140167,2026-07-13 13:09:01.728 -0700
44,90,C,39910,2026-07-13 13:09:01.728 -0700
4,31,A,205863,2026-07-13 13:09:01.728 -0700
29,93,B,93638,2026-07-13 13:09:01.728 -0700
40,41,A,155083,2026-07-13 13:09:01.728 -0700
19,18,A,203819,2026-07-13 13:09:01.728 -0700
38,14,C,39690,2026-07-13 13:09:01.728 -0700
1,20,A,151315,2026-07-13 13:09:01.728 -0700
6,29,A,202505,2026-07-13 13:09:01.728 -0700
41,87,A,196321,2026-07-13 13:09:01.728 -0700
1,6,A,151315,2026-07-13 13:09:01.728 -0700
42,1,C,39690,2026-07-13 13:09:01.728 -0700
40,36,A,155083,2026-07-13 13:09:01.728 -0700
34,46,A,158114,2026-07-13 13:09:01.728 -0700
43,8,C,41062,2026-07-13 13:09:01.728 -0700
11,3,A,207499,2026-07-13 13:09:01.728 -0700
26,6,A,152513,2026-07-13 13:09:01.728 -0700
39,97,A,184109,2026-07-13 13:09:01.728 -0700
17,56,B,93188,2026-07-13 13:09:01.728 -0700
20,94,A,203742,2026-07-13 13:09:01.728 -0700
10,94,B,126512,2026-07-13 13:09:01.728 -0700
20,32,A,203742,2026-07-13 13:09:01.728 -0700
26,33,A,152513,2026-07-13 13:09:01.728 -0700
33,31,A,39690,2026-07-13 13:09:01.728 -0700
32,97,A,203007,2026-07-13 13:09:01.728 -0700
27,71,A,204184,2026-07-13 13:09:01.728 -0700
27,33,A,204184,2026-07-13 13:09:01.728 -0700
42,2,C,39690,2026-07-13 13:09:01.728 -0700
10,38,B,126512,2026-07-13 13:09:01.728 -0700
32,79,A,203007,2026-07-13 13:09:01.728 -0700
34,19,A,158114,2026-07-13 13:09:01.728 -0700
33,95,A,39690,2026-07-13 13:09:01.728 -0700
26,11,A,152513,2026-07-13 13:09:01.728 -0700
10,85,B,126512,2026-07-13 13:09:01.728 -0700
22,60,B,119557,2026-07-13 13:09:01.728 -0700
1,3,A,151315,2026-07-13 13:09:01.728 -0700
2,93,A,202307,2026-07-13 13:09:01.728 -0700
5,29,B,34875,2026-07-13 13:09:01.728 -0700
28,5,A,206302,2026-07-13 13:09:01.728 -0700
34,96,A,158114,2026-07-13 13:09:01.728 -0700
22,41,B,119557,2026-07-13 13:09:01.728 -0700
41,33,A,196321,2026-07-13 13:09:01.728 -0700
31,37,A,203750,2026-07-13 13:09:01.728 -0700
18,35,B,120653,2026-07-13 13:09:01.728 -0700
39,21,A,184109,2026-07-13 13:09:01.728 -0700
21,90,B,140167,2026-07-13 13:09:01.728 -0700
45,12,B,118221,2026-07-13 13:09:01.728 -0700
23,93,B,114533,2026-07-13 13:09:01.728 -0700
31,71,A,203750,2026-07-13 13:09:01.728 -0700
15,35,B,123737,2026-07-13 13:09:01.728 -0700
18,49,B,120653,2026-07-13 13:09:01.728 -0700
35,77,B,103681,2026-07-13 13:09:01.728 -0700
19,25,A,203819,2026-07-13 13:09:01.728 -0700
19,59,A,203819,2026-07-13 13:09:01.728 -0700
5,97,B,34875,2026-07-13 13:09:01.728 -0700
25,16,B,128107,2026-07-13 13:09:01.728 -0700
4,18,A,205863,2026-07-13 13:09:01.728 -0700
18,3,B,120653,2026-07-13 13:09:01.728 -0700
41,17,A,196321,2026-07-13 13:09:01.728 -0700
25,6,B,128107,2026-07-13 13:09:01.728 -0700
24,4,A,203819,2026-07-13 13:09:01.728 -0700
41,71,A,196321,2026-07-13 13:09:01.728 -0700
39,10,A,184109,2026-07-13 13:09:01.728 -0700
45,41,B,118221,2026-07-13 13:09:01.728 -0700
5,56,B,34875,2026-07-13 13:09:01.728 -0700
32,54,A,203007,2026-07-13 13:09:01.728 -0700
21,38,B,140167,2026-07-13 13:09:01.728 -0700
40,5,A,155083,2026-07-13 13:09:01.728 -0700
45,92,B,118221,2026-07-13 13:09:01.728 -0700
5,8,B,34875,2026-07-13 13:09:01.728 -0700
22,22,B,119557,2026-07-13 13:09:01.728 -0700
43,2,C,41062,2026-07-13 13:09:01.728 -0700
14,5,A,200898,2026-07-13 13:09:01.728 -0700
6,12,A,202505,2026-07-13 13:09:01.728 -0700
27,67,A,204184,2026-07-13 13:09:01.728 -0700
1,8,A,151315,2026-07-13 13:09:01.728 -0700
13,58,A,219622,2026-07-13 13:09:01.728 -0700
25,9,B,128107,2026-07-13 13:09:01.728 -0700
43,91,C,41062,2026-07-13 13:09:01.728 -0700
36,4,A,39910,2026-07-13 13:09:01.728 -0700
19,40,A,203819,2026-07-13 13:09:01.728 -0700
8,71,A,155078,2026-07-13 13:09:01.728 -0700
32,27,A,203007,2026-07-13 13:09:01.728 -0700
6,4,A,202505,2026-07-13 13:09:01.728 -0700
11,32,A,207499,2026-07-13 13:09:01.728 -0700
37,22,C,39910,2026-07-13 13:09:01.728 -0700
36,18,A,39910,2026-07-13 13:09:01.728 -0700
5,26,B,34875,2026-07-13 13:09:01.728 -0700
1,41,A,151315,2026-07-13 13:09:01.728 -0700
13,21,A,219622,2026-07-13 13:09:01.728 -0700
9,44,B,125833,2026-07-13 13:09:01.728 -0700
42,32,C,39690,2026-07-13 13:09:01.728 -0700
9,8,B,125833,2026-07-13 13:09:01.728 -0700
38,31,C,39690,2026-07-13 13:09:01.728 -0700
11,80,A,207499,2026-07-13 13:09:01.728 -0700
12,33,B,112238,2026-07-13 13:09:01.728 -0700
19,92,A,203819,2026-07-13 13:09:01.728 -0700
7,95,B,70713,2026-07-13 13:09:01.728 -0700
29,8,B,93638,2026-07-13 13:09:01.728 -0700
7,93,B,70713,2026-07-13 13:09:01.728 -0700
7,52,B,70713,2026-07-13 13:09:01.728 -0700
22,21,B,119557,2026-07-13 13:09:01.728 -0700
5,74,B,34875,2026-07-13 13:09:01.728 -0700
18,58,B,120653,2026-07-13 13:09:01.728 -0700
15,55,B,123737,2026-07-13 13:09:01.728 -0700
35,35,B,103681,2026-07-13 13:09:01.728 -0700
31,51,A,203750,2026-07-13 13:09:01.728 -0700
27,79,A,204184,2026-07-13 13:09:01.728 -0700
36,1,A,39910,2026-07-13 13:09:01.728 -0700
42,9,C,39690,2026-07-13 13:09:01.728 -0700
26,16,A,152513,2026-07-13 13:09:01.728 -0700
16,29,B,57197,2026-07-13 13:09:01.728 -0700
3,12,B,37392,2026-07-13 13:09:01.728 -0700
27,52,A,204184,2026-07-13 13:09:01.728 -0700
39,45,A,184109,2026-07-13 13:09:01.728 -0700
17,14,B,93188,2026-07-13 13:09:01.728 -0700
1,32,A,151315,2026-07-13 13:09:01.728 -0700
16,98,B,57197,2026-07-13 13:09:01.728 -0700
11,5,A,207499,2026-07-13 13:09:01.728 -0700
18,20,B,120653,2026-07-13 13:09:01.728 -0700
38,90,C,39690,2026-07-13 13:09:01.728 -0700
